,id,date_season_begin,Civic,Commercial,Cultural,Industrial,Other,Transportation,Vacant,Water,Residential,Total:,Not Hispanic or Latino:,Not Hispanic or Latino: - White alone,Not Hispanic or Latino: - Black or African American alone,Not Hispanic or Latino: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Asian alone,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Some Other Race alone,Not Hispanic or Latino: - Two or More Races,Hispanic or Latino:,Hispanic or Latino: - White alone,Hispanic or Latino: - Black or African American alone,Hispanic or Latino: - American Indian and Alaska Native alone,Hispanic or Latino: - Asian alone,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: - Some Other Race alone,Hispanic or Latino: - Two or More Races,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),income_to_poverty_under_.50,income_to_poverty_.50_to_.99,income_to_poverty_1.00_to_1.24,income_to_poverty_1.25_to_1.49,income_to_poverty_1.50_to_1.84,income_to_poverty_1.85_to_1.99,income_to_poverty_over_2.00,id,cafe,convenience,gym,institution,liquor,lodging,nightlife,pharmacy,restaurant,retail,business_count
0,4693,2007-09-01,0.09936059744276204,0.017447228283501887,0.0007456464640735799,0.13463007532050306,0.0,0.3793008254021328,0.1063663245453072,0.0,0.36150989998448135,1905,0.08608923884514436,0.022047244094488192,0.05091863517060368,0.0005249343832020997,0.0031496062992125984,0.0,0.0068241469816272965,0.0026246719160104987,0.9139107611548556,0.3832020997375328,0.053018372703412066,0.03044619422572178,0.004199475065616798,0.0015748031496062992,0.3769028871391076,0.06456692913385828,6960.0,0.42561619718309857,0.2522007042253521,0.07350352112676056,0.016285211267605633,0.08230633802816903,0.0,0.1500880281690141,4693,1,1,0,1,1,0,1,1,1,1,90
1,5089,2011-03-01,0.03595904013698866,0.12312789255654615,0.0024420336809513987,0.08781732407999593,0.0,0.32077797951814097,0.08352920866843651,0.0,0.3823055614959291,1054,0.7096774193548387,0.2277039848197344,0.43738140417457305,0.0009487666034155598,0.016129032258064516,0.0,0.013282732447817835,0.014231499051233398,0.2903225806451613,0.0635673624288425,0.01802656546489564,0.0047438330170778,0.0,0.0,0.17552182163187854,0.028462998102466795,10386.0,0.052057094878253565,0.35852225020990763,0.22502099076406384,0.11335012594458438,0.0436607892527288,0.0,0.2073887489504618,5089,1,1,0,1,0,0,1,0,1,1,95
2,1736,2014-09-01,0.10592303493066378,0.033490990736400536,0.006764134609544251,0.0036859962527097867,0.0,0.3385337851852251,0.20319852635287533,0.0,0.414326566863245,677,0.9896602658788776,0.0310192023633678,0.8596750369276218,0.0029542097488921715,0.036927621861152136,0.0,0.0,0.059084194977843424,0.0103397341211226,0.007385524372230428,0.0029542097488921715,0.0,0.0,0.0,0.0,0.0,8472.0,0.25996204933586337,0.36432637571157495,0.05882352941176471,0.022770398481973438,0.011385199240986715,0.013282732447817835,0.269449715370019,1736,1,0,1,1,0,1,1,1,1,1,75
3,5445,2011-03-01,0.022603209433904748,0.17410038615593068,0.0,0.05324339704467382,0.0,0.3835647806687245,0.038480321839901264,0.0,0.3506111142907697,717,0.9804741980474198,0.005578800557880057,0.9553695955369595,0.0041841004184100415,0.0013947001394700141,0.0,0.0,0.013947001394700141,0.0195258019525802,0.005578800557880057,0.009762900976290095,0.0,0.0,0.0,0.0027894002789400282,0.0013947001394700141,14501.0,0.09077809798270893,0.23054755043227665,0.07060518731988473,0.021613832853025938,0.18876080691642647,0.025936599423631124,0.3717579250720461,5445,1,1,1,1,0,0,1,1,1,1,90
4,6439,2016-03-01,0.11015984722060457,0.03270773178593996,0.008884953707300913,0.00017139446985375698,0.0,0.35335932913294776,0.13079283383014872,0.0,0.4740837570738089,1387,0.9754866618601298,0.07858687815428983,0.8594087959625091,0.002883922134102379,0.009372746935832732,0.0,0.004325883201153569,0.02090843547224225,0.024513338139870226,0.004325883201153569,0.010093727469358328,0.0,0.0,0.0,0.007930785868781542,0.0021629416005767843,17659.0,0.05248464544946957,0.20938023450586266,0.10831937465103296,0.035734226689000566,0.09715242881072028,0.024567280848687884,0.4723618090452261,6439,1,1,1,1,1,1,1,1,1,1,85
5,52,2017-03-01,0.004209675568692976,0.043072809871701305,0.06166933836893688,0.15258201157501589,0.0,0.3858886727800853,0.08875961167635113,0.0,0.2680275557279095,2553,0.7344300822561692,0.13396004700352526,0.5389737563650607,0.0015667841754798276,0.04230317273795535,0.0,0.0,0.017626321974148058,0.2655699177438308,0.06854680767724246,0.0426948687818253,0.0,0.0,0.0,0.13396004700352526,0.020368194281237758,11825.0,0.2610244988864143,0.22093541202672606,0.028953229398663693,0.08240534521158129,0.13808463251670378,0.04142538975501114,0.22717149220489974,52,1,1,0,1,0,0,1,1,1,1,74
6,131,2017-03-01,0.1067918766156744,0.012305323763032294,0.0667140816368159,0.0,0.0,0.3398528749567815,0.1550435948416482,0.0,0.4260841248017221,1044,0.44061302681992337,0.01532567049808429,0.4195402298850575,0.0,0.0,0.0,0.0,0.005747126436781609,0.5593869731800766,0.19540229885057472,0.02873563218390805,0.005747126436781609,0.0038314176245210726,0.0,0.28160919540229884,0.044061302681992334,8098.0,0.4006211180124224,0.2802795031055901,0.037267080745341616,0.0,0.06211180124223601,0.0,0.21972049689440995,131,1,1,0,1,1,0,1,1,1,1,71
7,269,2008-03-01,0.05625300515094562,0.14643579603693072,0.01712956445067911,0.0621111589825613,0.0,0.4037015579881271,0.09593204602690676,0.0,0.27468987651479504,590,0.9796610169491524,0.09491525423728814,0.8593220338983051,0.003389830508474576,0.003389830508474576,0.0,0.0,0.01864406779661017,0.020338983050847456,0.005084745762711864,0.006779661016949152,0.0,0.0,0.0,0.003389830508474576,0.005084745762711864,13413.0,0.20440251572327045,0.040880503144654086,0.0,0.0,0.0,0.4685534591194969,0.2861635220125786,269,1,1,0,1,0,0,1,0,1,1,51
8,281,2008-03-01,0.05439106214742795,0.06321421244890055,0.08694626230571954,0.08649184109044575,0.0,0.5048181793476576,0.06836792347216752,0.0,0.19016158133510894,1011,0.9495548961424332,0.19485657764589515,0.6152324431256182,0.008902077151335312,0.10385756676557864,0.0,0.002967359050445104,0.02373887240356083,0.050445103857566766,0.009891196834817012,0.018793273986152333,0.0,0.0,0.0,0.019782393669634024,0.0019782393669634025,16644.0,0.17060367454068245,0.14435695538057744,0.053805774278215215,0.16141732283464566,0.06299212598425198,0.0,0.4068241469816273,281,1,1,0,1,0,0,1,0,1,1,49
9,323,2008-03-01,0.01802485450825524,0.01659678616694097,0.0072430388339323765,0.014982911939526453,0.0,0.3822624334834078,0.0643180002124163,0.0,0.5145968293637762,938,0.9733475479744136,0.037313432835820885,0.8603411513859275,0.001066098081023454,0.05223880597014925,0.0031982942430703624,0.0,0.019189765458422176,0.02665245202558636,0.006396588486140725,0.001066098081023454,0.00746268656716418,0.001066098081023454,0.0,0.006396588486140725,0.004264392324093817,16671.0,0.0638036809815951,0.2404907975460123,0.2134969325153374,0.0638036809815951,0.0785276073619632,0.0,0.3398773006134969,323,1,1,1,1,1,1,1,1,1,1,155
