,vacant_id,greened_id,match_greened_date,violent_100_before,violent_100_after,violent_200_before,violent_200_after,violent_500_before,violent_500_after,nonviolent_100_before,nonviolent_100_after,nonviolent_200_before,nonviolent_200_after,nonviolent_500_before,nonviolent_500_after
2262,843826,5608,2013-09-01,26,24,81,107,409,405,20,20,92,85,494,514
2263,579971,5449,2008-09-01,57,74,220,218,982,1025,55,41,200,187,1147,1064
2264,1359852,5054,2008-03-01,8,22,74,88,678,570,38,67,144,179,1483,1452
2265,851550,4905,2008-03-01,59,32,134,100,676,680,80,86,181,174,829,761
2266,854764,4721,2007-09-01,62,56,224,213,719,718,61,43,209,139,777,622
2267,888408,6611,2012-09-01,52,65,213,253,895,851,58,57,192,176,1070,916
2268,544035,4695,2011-03-01,81,41,157,110,1052,1013,40,47,115,155,973,963
2269,783374,6870,2016-03-01,40,43,163,157,888,827,43,26,146,118,1085,878
2270,20839,375,2008-09-01,31,33,142,127,806,745,41,35,134,129,1093,921
2271,1125644,319,2008-09-01,67,46,180,163,881,823,67,73,215,223,1719,1528
2272,679251,4426,2016-03-01,17,20,76,73,493,472,14,23,76,100,848,834
2273,1038033,1753,2011-03-01,25,30,87,75,446,424,21,52,100,105,569,608
2274,1213980,4985,2008-09-01,28,30,102,98,510,480,25,23,91,99,680,580
2275,777331,5430,2014-09-01,57,47,187,170,1058,1162,41,52,190,191,1137,1273
2276,655802,483,2013-03-01,9,10,86,68,512,430,11,11,90,77,823,658
2277,1197032,1443,2008-03-01,93,73,204,154,676,546,100,72,226,167,841,665
2278,1020068,1453,2013-03-01,53,50,138,103,486,434,80,54,179,109,732,587
2279,832039,5181,2013-03-01,9,10,87,67,511,431,12,11,88,74,822,661
2280,127782,5156,2013-03-01,8,10,86,66,512,435,12,11,91,78,824,650
2281,81918,1367,2014-09-01,12,19,63,75,354,344,32,15,89,107,518,503
2282,963835,2226,2008-09-01,32,29,100,79,502,431,29,41,101,118,655,526
2283,1336023,3864,2012-09-01,33,32,123,130,865,759,46,39,156,125,996,875
2284,247276,1326,2010-03-01,32,31,162,176,848,867,32,40,149,158,1017,987
2285,346878,5417,2010-03-01,29,28,97,96,413,405,36,26,114,97,441,448
2286,211792,3796,2012-09-01,11,9,63,51,374,330,16,20,84,59,476,432
2287,1401557,5315,2010-03-01,24,35,110,104,538,549,57,50,204,200,1108,1043
2288,347033,599,2011-03-01,14,20,79,72,376,359,33,31,129,115,446,453
2289,932882,3527,2014-03-01,53,42,152,136,437,447,58,37,172,181,785,707
2290,1284275,2235,2008-03-01,51,27,130,109,509,439,47,49,156,175,885,927
2291,51573,5607,2013-09-01,19,37,85,107,434,419,21,22,89,70,506,548
2292,28007,200,2017-03-01,8,9,27,27,159,176,20,18,96,64,320,284
2293,644178,832,2015-09-01,19,14,40,30,189,155,20,18,48,45,320,290
2294,379212,1838,2016-03-01,68,58,213,187,911,911,130,110,363,313,1356,1296
