"","1","match_greened_date","greened_id","vacant_id"
"2826","13123","2016-09-01",3805,609359
"2827","9482","2016-09-01",3806,1038899
"2831","8856","2016-09-01",3810,890756
"2832","8835","2016-09-01",3811,222247
"2833","9804","2016-09-01",3812,291020
"2834","9477","2016-09-01",3813,996028
"2835","9541","2016-09-01",3814,1172006
"2836","9943","2016-09-01",3815,115000
"2837","9831","2016-09-01",3816,1347398
"2838","8918","2016-09-01",3817,802505
"2839","8900","2016-09-01",3818,398075
"2840","7673","2016-09-01",3819,1309550
"2841","7596","2016-03-01",3820,575791
"2843","20095","2012-09-01",3826,103627
"2845","8547","2014-03-01",3828,444338
"2846","8895","2014-03-01",3829,379137
"2847","17053","2014-03-01",3830,930271
"2848","9646","2014-03-01",3831,1137639
"2849","7782","2015-09-01",3832,400019
"2850","7622","2015-09-01",3833,1105265
"2851","10124","2015-09-01",3834,1134862
"2852","7763","2015-09-01",3835,400017
"2853","10388","2007-09-01",3845,562612
"2854","11094","2007-09-01",3846,581145
"2855","11677","2007-09-01",3847,1254886
"2856","10487","2007-09-01",3848,1161921
"2857","21008","2007-09-01",3849,1183246
"2858","8794","2007-09-01",3850,1123243
"2859","8717","2007-09-01",3851,1298747
"2862","5972","2008-03-01",3854,1314287
"2863","8220","2008-09-01",3855,575889
"2864","14977","2012-09-01",3856,726642
"2865","6500","2012-09-01",3857,54424
"2866","7008","2012-09-01",3858,1222465
"2867","19432","2012-09-01",3859,1327121
"2869","15342","2012-09-01",3861,683753
"2870","12879","2012-09-01",3862,783638
"2871","7822","2014-03-01",3866,902994
"2872","10287","2014-03-01",3867,516617
"2873","7335","2014-03-01",3868,750145
"2874","9960","2014-03-01",3869,165529
"2875","9264","2014-03-01",3871,516514
"2876","18201","2007-09-01",3877,515118
"2877","11996","2007-09-01",3878,1217211
"2878","11401","2007-09-01",3879,344470
"2879","11270","2007-09-01",3880,1330728
"2880","14940","2007-09-01",3881,612785
"2881","11440","2008-09-01",3883,1318936
"2882","13061","2012-09-01",3884,521216
"2883","13185","2012-09-01",3885,661346
"2884","13478","2012-09-01",3886,544093
"2886","10312","2014-03-01",3888,1134022
"2887","9064","2014-03-01",3889,246326
"2888","9092","2014-03-01",3890,1222518
"2889","12147","2007-09-01",3896,1386415
"2890","10913","2007-09-01",3897,431753
"2891","11850","2007-09-01",3898,1231570
"2892","9116","2007-09-01",3899,1386714
"2893","11235","2007-09-01",3900,890887
"2894","12936","2008-03-01",3901,1187905
"2895","12629","2008-09-01",3902,452398
"2896","8350","2008-09-01",3903,65268
"2897","11901","2012-09-01",3904,601927
"2898","16726","2012-09-01",3905,771046
"2900","14837","2012-09-01",3907,45678
"2903","14825","2012-09-01",3910,1366180
"2904","19695","2012-09-01",3912,774978
"2905","16120","2012-09-01",3913,78100
"2906","8567","2014-03-01",3914,1013177
"2907","7662","2014-03-01",3915,886694
"2908","9244","2014-03-01",3916,341446
"2909","16720","2014-03-01",3918,725352
"2910","5712","2014-03-01",3919,51342
"2911","11060","2014-03-01",3920,1098172
"2912","11833","2007-09-01",3922,45234
"2913","10920","2007-09-01",3923,608009
"2914","11769","2007-09-01",3924,48359
"2916","11640","2007-09-01",3934,1192584
"2917","10301","2007-09-01",3935,1179634
"2918","18329","2007-09-01",3936,1011742
"2919","10957","2007-09-01",3937,1193137
"2920","19956","2007-09-01",3938,1072453
"2921","13375","2007-09-01",3939,1351530
"2922","11726","2007-09-01",3940,897939
"2923","13274","2007-09-01",3941,221059
"2925","19307","2008-03-01",3943,721484
"2926","18948","2008-09-01",3945,841657
"2927","9046","2012-09-01",3946,223255
"2930","19380","2012-09-01",3949,571943
"2932","9843","2012-09-01",3951,81182
"2933","11532","2012-09-01",3952,1402084
"2934","15356","2012-09-01",3953,155720
"2937","18173","2012-09-01",3956,1369765
"2939","8699","2014-03-01",3958,180952
"2940","10561","2014-03-01",3959,1392116
"2941","18186","2007-09-01",3965,1396080
"2942","4785","2007-09-01",3966,897069
"2943","20956","2007-09-01",3967,921435
"2944","10516","2007-09-01",3968,281621
"2945","9096","2007-09-01",3969,1211094
"2946","8999","2007-09-01",3970,1123247
"2947","14125","2007-09-01",3971,673954
"2948","18330","2007-09-01",3972,1099839
"2949","15813","2012-09-01",3973,1111531
"2950","11840","2012-09-01",3974,80400
"2951","7143","2008-03-01",3980,405831
"2952","7913","2008-09-01",3981,1374686
"2953","7075","2008-03-01",3982,581715
"2954","20947","2008-09-01",3983,254992
"2955","21057","2008-09-01",3984,197892
"2956","7199","2008-03-01",3985,446966
"2957","7529","2008-03-01",3990,1286333
"2958","7588","2008-09-01",3991,935053
"2959","21060","2008-09-01",3992,373758
"2960","8452","2011-03-01",3993,625392
"2961","18719","2013-03-01",4000,933939
"2962","18712","2013-03-01",4001,53093
"2963","5354","2013-03-01",4002,9549
"2964","7734","2016-03-01",4003,362568
"2965","16441","2016-03-01",4004,30075
"2966","7720","2015-09-01",4012,1221583
"2967","7737","2015-09-01",4013,76926
"2968","7790","2015-09-01",4014,517330
"2969","7811","2015-09-01",4015,254225
"2970","8540","2012-09-01",4023,979246
"2971","7789","2013-03-01",4045,428536
"2972","8172","2012-09-01",4047,182441
"2973","8499","2012-09-01",4048,1067391
"2974","7256","2013-03-01",4052,1368416
"2975","7770","2013-03-01",4053,1045452
"2976","16736","2007-09-01",4054,224734
"2977","16738","2007-09-01",4055,841178
"2978","16621","2007-09-01",4056,96892
"2979","5953","2007-09-01",4057,272917
"2980","5250","2007-09-01",4058,267390
"2981","18006","2007-09-01",4059,1246095
"2982","16381","2007-09-01",4060,486682
"2983","5377","2007-09-01",4061,1329177
"2984","19289","2007-09-01",4062,577338
"2985","5643","2007-09-01",4063,360499
"2986","21388","2008-09-01",4064,682509
"2987","16642","2007-09-01",4065,624783
"2988","16654","2008-09-01",4066,480957
"2989","5405","2007-09-01",4070,184833
"2990","5397","2007-09-01",4071,801018
"2991","16742","2007-09-01",4072,488212
"2992","16638","2008-09-01",4074,448349
"2993","16578","2010-03-01",4078,343041
"2994","10900","2010-03-01",4083,875549
"2995","7429","2014-09-01",4085,195894
"2996","7392","2010-03-01",4091,241299
"2997","16564","2010-03-01",4099,167136
"2998","12076","2014-09-01",4104,556368
"2999","16694","2014-09-01",4106,781152
